105 88 16 Wed Oct 17 15:38:07 2018
85 70 15 Wed Oct 17 15:39:05 2018
98 79 19 Wed Oct 17 15:40:05 2018
83 69 14 Wed Oct 17 15:41:05 2018
88 78 10 Wed Oct 17 15:42:06 2018
97 87 10 Wed Oct 17 15:43:05 2018
97 85 12 Wed Oct 17 15:44:05 2018
111 100 11 Wed Oct 17 15:45:05 2018
94 80 14 Wed Oct 17 15:46:05 2018
89 77 12 Wed Oct 17 15:47:06 2018
99 88 11 Wed Oct 17 15:48:06 2018
87 72 15 Wed Oct 17 15:49:05 2018
94 80 14 Wed Oct 17 15:50:05 2018
98 83 15 Wed Oct 17 15:51:05 2018
98 85 13 Wed Oct 17 15:52:07 2018
99 90 9 Wed Oct 17 15:53:05 2018
100 83 17 Wed Oct 17 15:54:05 2018
106 94 12 Wed Oct 17 15:55:05 2018
98 91 7 Wed Oct 17 15:56:05 2018
83 74 9 Wed Oct 17 15:57:05 2018
88 69 19 Wed Oct 17 15:58:05 2018
102 91 11 Wed Oct 17 15:59:05 2018
81 64 16 Wed Oct 17 16:00:05 2018
90 79 11 Wed Oct 17 16:01:05 2018
87 75 12 Wed Oct 17 16:02:05 2018
83 75 8 Wed Oct 17 16:03:05 2018
87 73 14 Wed Oct 17 16:04:06 2018
76 65 11 Wed Oct 17 16:05:05 2018
94 82 12 Wed Oct 17 16:06:05 2018
83 73 10 Wed Oct 17 16:07:05 2018
83 65 18 Wed Oct 17 16:08:05 2018
98 85 13 Wed Oct 17 16:09:05 2018
97 86 11 Wed Oct 17 16:10:05 2018
90 75 15 Wed Oct 17 16:11:05 2018
104 83 21 Wed Oct 17 16:12:06 2018
112 94 18 Wed Oct 17 16:13:05 2018
99 88 11 Wed Oct 17 16:14:05 2018
88 76 12 Wed Oct 17 16:15:05 2018
101 89 12 Wed Oct 17 16:16:06 2018
108 93 15 Wed Oct 17 16:17:06 2018
100 85 15 Wed Oct 17 16:18:05 2018
85 74 11 Wed Oct 17 16:19:06 2018
115 97 18 Wed Oct 17 16:20:06 2018
93 77 16 Wed Oct 17 16:21:05 2018
101 88 13 Wed Oct 17 16:22:05 2018
89 80 9 Wed Oct 17 16:23:05 2018
80 69 11 Wed Oct 17 16:24:05 2018
94 84 10 Wed Oct 17 16:25:05 2018
86 72 14 Wed Oct 17 16:26:05 2018
89 74 15 Wed Oct 17 16:27:05 2018
102 89 13 Wed Oct 17 16:28:06 2018
104 91 13 Wed Oct 17 16:29:05 2018
91 79 12 Wed Oct 17 16:30:05 2018
130 104 26 Wed Oct 17 16:31:05 2018
101 89 12 Wed Oct 17 16:32:06 2018
97 90 7 Wed Oct 17 16:33:05 2018
88 71 16 Wed Oct 17 16:34:06 2018
100 82 18 Wed Oct 17 16:35:05 2018
105 92 13 Wed Oct 17 16:36:05 2018
99 86 13 Wed Oct 17 16:37:05 2018
99 77 22 Wed Oct 17 16:38:06 2018
92 81 11 Wed Oct 17 16:39:05 2018
86 72 14 Wed Oct 17 16:40:05 2018
101 91 10 Wed Oct 17 16:41:06 2018
112 98 14 Wed Oct 17 16:42:05 2018
88 80 8 Wed Oct 17 16:43:05 2018
98 73 25 Wed Oct 17 16:44:05 2018
108 97 11 Wed Oct 17 16:45:05 2018
92 76 16 Wed Oct 17 16:46:05 2018
102 86 16 Wed Oct 17 16:47:05 2018
94 81 13 Wed Oct 17 16:48:05 2018
75 70 5 Wed Oct 17 16:49:05 2018
90 79 11 Wed Oct 17 16:50:05 2018
86 75 11 Wed Oct 17 16:51:05 2018
99 83 16 Wed Oct 17 16:52:05 2018
100 86 14 Wed Oct 17 16:53:05 2018
99 90 9 Wed Oct 17 16:54:06 2018
94 75 19 Wed Oct 17 16:55:05 2018
103 85 18 Wed Oct 17 16:56:05 2018
100 83 17 Wed Oct 17 16:57:05 2018
82 69 13 Wed Oct 17 16:58:05 2018
122 98 24 Wed Oct 17 16:59:05 2018
113 103 10 Wed Oct 17 17:00:05 2018
89 71 18 Wed Oct 17 17:01:05 2018
103 89 14 Wed Oct 17 17:02:05 2018
105 86 18 Wed Oct 17 17:03:05 2018
93 78 15 Wed Oct 17 17:04:05 2018
93 78 15 Wed Oct 17 17:05:05 2018
