105 79 25 Wed Nov  7 15:15:43 2018
85 78 7 Wed Nov  7 15:16:44 2018
87 75 12 Wed Nov  7 15:17:43 2018
92 79 13 Wed Nov  7 15:18:43 2018
105 91 14 Wed Nov  7 15:19:43 2018
102 81 21 Wed Nov  7 15:20:44 2018
97 84 13 Wed Nov  7 15:21:43 2018
118 97 21 Wed Nov  7 15:22:43 2018
93 74 19 Wed Nov  7 15:23:43 2018
89 67 22 Wed Nov  7 15:24:43 2018
101 90 11 Wed Nov  7 15:25:43 2018
90 76 14 Wed Nov  7 15:26:43 2018
89 75 13 Wed Nov  7 15:27:43 2018
88 71 17 Wed Nov  7 15:28:43 2018
90 77 12 Wed Nov  7 15:29:43 2018
105 91 14 Wed Nov  7 15:30:43 2018
83 73 10 Wed Nov  7 15:31:43 2018
105 89 16 Wed Nov  7 15:32:47 2018
105 90 15 Wed Nov  7 15:33:43 2018
92 82 10 Wed Nov  7 15:34:43 2018
83 65 17 Wed Nov  7 15:35:43 2018
121 102 19 Wed Nov  7 15:36:43 2018
107 90 17 Wed Nov  7 15:37:43 2018
100 83 17 Wed Nov  7 15:38:43 2018
91 77 14 Wed Nov  7 15:39:43 2018
84 75 9 Wed Nov  7 15:40:43 2018
100 87 12 Wed Nov  7 15:41:44 2018
107 99 8 Wed Nov  7 15:42:43 2018
100 88 12 Wed Nov  7 15:43:43 2018
89 70 18 Wed Nov  7 15:44:43 2018
100 85 15 Wed Nov  7 15:45:43 2018
98 79 19 Wed Nov  7 15:46:43 2018
101 84 17 Wed Nov  7 15:47:43 2018
80 74 6 Wed Nov  7 15:48:43 2018
93 82 11 Wed Nov  7 15:49:43 2018
100 86 14 Wed Nov  7 15:50:44 2018
95 81 14 Wed Nov  7 15:51:43 2018
108 98 10 Wed Nov  7 15:52:43 2018
85 71 14 Wed Nov  7 15:53:43 2018
94 80 14 Wed Nov  7 15:54:43 2018
99 85 14 Wed Nov  7 15:55:43 2018
78 68 10 Wed Nov  7 15:56:43 2018
98 82 16 Wed Nov  7 15:57:43 2018
92 79 13 Wed Nov  7 15:58:44 2018
88 76 12 Wed Nov  7 15:59:43 2018
106 89 17 Wed Nov  7 16:00:43 2018
91 81 9 Wed Nov  7 16:01:43 2018
107 94 13 Wed Nov  7 16:02:43 2018
87 69 18 Wed Nov  7 16:03:43 2018
85 78 7 Wed Nov  7 16:04:43 2018
111 92 19 Wed Nov  7 16:05:45 2018
108 97 11 Wed Nov  7 16:06:43 2018
95 79 16 Wed Nov  7 16:07:43 2018
81 68 13 Wed Nov  7 16:08:43 2018
102 87 15 Wed Nov  7 16:09:43 2018
90 77 13 Wed Nov  7 16:10:43 2018
100 90 10 Wed Nov  7 16:11:43 2018
99 84 15 Wed Nov  7 16:12:43 2018
102 85 17 Wed Nov  7 16:13:43 2018
106 84 22 Wed Nov  7 16:14:43 2018
98 83 15 Wed Nov  7 16:15:43 2018
96 86 10 Wed Nov  7 16:16:44 2018
78 64 14 Wed Nov  7 16:17:43 2018
106 89 17 Wed Nov  7 16:18:43 2018
94 78 16 Wed Nov  7 16:19:43 2018
107 90 17 Wed Nov  7 16:20:43 2018
103 87 16 Wed Nov  7 16:21:43 2018
116 94 22 Wed Nov  7 16:22:43 2018
82 66 16 Wed Nov  7 16:23:43 2018
93 85 7 Wed Nov  7 16:24:44 2018
96 76 20 Wed Nov  7 16:25:43 2018
103 93 10 Wed Nov  7 16:26:43 2018
84 75 9 Wed Nov  7 16:27:43 2018
93 79 13 Wed Nov  7 16:28:43 2018
98 83 15 Wed Nov  7 16:29:43 2018
88 79 9 Wed Nov  7 16:30:43 2018
111 97 14 Wed Nov  7 16:31:43 2018
98 83 14 Wed Nov  7 16:32:43 2018
99 84 15 Wed Nov  7 16:33:43 2018
114 94 20 Wed Nov  7 16:34:43 2018
98 82 16 Wed Nov  7 16:35:44 2018
97 85 12 Wed Nov  7 16:36:43 2018
93 82 11 Wed Nov  7 16:37:43 2018
100 90 9 Wed Nov  7 16:38:44 2018
95 89 6 Wed Nov  7 16:39:43 2018
90 73 17 Wed Nov  7 16:40:43 2018
92 81 11 Wed Nov  7 16:41:43 2018
104 89 15 Wed Nov  7 16:42:43 2018
100 90 10 Wed Nov  7 16:43:43 2018
85 66 19 Wed Nov  7 16:44:45 2018
87 69 18 Wed Nov  7 16:45:43 2018
111 91 20 Wed Nov  7 16:46:43 2018
99 82 17 Wed Nov  7 16:47:43 2018
79 72 7 Wed Nov  7 16:48:43 2018
80 67 13 Wed Nov  7 16:49:43 2018
82 69 13 Wed Nov  7 16:50:43 2018
92 78 14 Wed Nov  7 16:51:43 2018
103 87 16 Wed Nov  7 16:52:43 2018
105 93 12 Wed Nov  7 16:53:43 2018
103 86 17 Wed Nov  7 16:54:43 2018
84 70 14 Wed Nov  7 16:55:43 2018
101 92 9 Wed Nov  7 16:56:43 2018
108 93 15 Wed Nov  7 16:57:45 2018
101 80 21 Wed Nov  7 16:58:43 2018
101 86 15 Wed Nov  7 16:59:43 2018
110 96 14 Wed Nov  7 17:00:44 2018
87 76 11 Wed Nov  7 17:01:43 2018
103 81 22 Wed Nov  7 17:02:43 2018
99 88 11 Wed Nov  7 17:03:43 2018
97 82 15 Wed Nov  7 17:04:43 2018
71 63 8 Wed Nov  7 17:05:43 2018
97 83 14 Wed Nov  7 17:06:43 2018
110 100 10 Wed Nov  7 17:07:44 2018
94 73 21 Wed Nov  7 17:08:44 2018
85 76 9 Wed Nov  7 17:09:43 2018
91 76 14 Wed Nov  7 17:10:43 2018
84 72 12 Wed Nov  7 17:11:43 2018
109 93 15 Wed Nov  7 17:12:46 2018
80 60 20 Wed Nov  7 17:13:43 2018
85 74 11 Wed Nov  7 17:14:44 2018
99 85 14 Wed Nov  7 17:15:43 2018
102 93 9 Wed Nov  7 17:16:44 2018
88 69 18 Wed Nov  7 17:17:43 2018
75 63 12 Wed Nov  7 17:18:43 2018
90 75 15 Wed Nov  7 17:19:43 2018
97 87 10 Wed Nov  7 17:20:43 2018
91 75 16 Wed Nov  7 17:21:43 2018
99 86 13 Wed Nov  7 17:22:43 2018
91 79 12 Wed Nov  7 17:23:43 2018
94 88 6 Wed Nov  7 17:24:43 2018
95 75 20 Wed Nov  7 17:25:43 2018
81 68 13 Wed Nov  7 17:26:46 2018
89 79 10 Wed Nov  7 17:27:43 2018
90 82 8 Wed Nov  7 17:28:43 2018
96 78 18 Wed Nov  7 17:29:43 2018
90 75 15 Wed Nov  7 17:30:43 2018
100 82 17 Wed Nov  7 17:31:43 2018
87 71 16 Wed Nov  7 17:32:43 2018
89 76 13 Wed Nov  7 17:33:44 2018
99 78 21 Wed Nov  7 17:34:44 2018
82 72 10 Wed Nov  7 17:35:43 2018
79 64 15 Wed Nov  7 17:36:45 2018
93 78 15 Wed Nov  7 17:37:44 2018
97 81 16 Wed Nov  7 17:38:43 2018
102 82 20 Wed Nov  7 17:39:43 2018
93 75 18 Wed Nov  7 17:40:45 2018
90 75 15 Wed Nov  7 17:41:43 2018
89 75 14 Wed Nov  7 17:42:45 2018
93 83 10 Wed Nov  7 17:43:45 2018
94 74 20 Wed Nov  7 17:44:43 2018
99 80 19 Wed Nov  7 17:45:43 2018
88 75 12 Wed Nov  7 17:46:45 2018
88 77 10 Wed Nov  7 17:47:44 2018
116 99 16 Wed Nov  7 17:48:44 2018
99 77 22 Wed Nov  7 17:49:44 2018
96 84 12 Wed Nov  7 17:50:44 2018
111 95 16 Wed Nov  7 17:51:44 2018
